姓名,專長
鐘文宏,一般皮膚病症、藥物過敏、皮膚免疫疾病、落髮、皮膚美容雷射
張雅菁,"皮膚雷射〈黑斑、血管瘤、除毛、老人斑、瘜肉、痘疤〉、脈衝光，電波拉皮，肉毒桿菌注射除皺，果酸換膚、接觸性皮膚炎，職業性皮膚病，一般皮膚病 ,女性皮膚病"
李書豪,一般皮膚病治療：青春痘、酒糟、濕疹、蕁麻疹、落髮圓禿、甲溝炎、白斑、灰指甲、體癬、帶狀皰疹、乾癬、異位性皮膚炎等 皮膚外科手術： 皮膚腫瘤切除、修疤手術、蟹足腫治療、慢性甲溝炎手術 美容與雷射治療： 除斑、除痣、血管病灶、除毛、除刺青等雷射、皮秒雷射、飛梭雷射、脈衝光、淨膚雷射、微血管雷射 超音波左旋C導入、果酸煥膚、鑽石微雕 微整形注射： 肉毒桿菌注射（除皺、瘦小臉） 玻尿酸注射（填充） 膠原蛋白增生劑（童顏針、少女針） 非侵入性拉提： 電波拉提 (Thermage) 音波拉提 (Ulthera)
紀景琪,乾癬、異位性皮膚炎、類天皰瘡、雷射及脈衝光美容、果酸換膚、青春痘、黑斑、美白治療、禿頭掉髮、乾癬、婦女皮膚病、懷孕期皮膚病及一般皮膚病、實證醫學、流行病學、皮膚科學、醫學教育
官裕宗,CO2 雷射對各種腫瘤之治療研究、皮膚雷射、肉毒桿菌注射除皺、 玻尿酸除皺整形、黑斑、乾癬、一般皮膚病症
洪宏翔,雷射治療、皮膚美容、黴菌感染、 黑斑、乾癬、自體免疫性疾病、一般皮膚病症
楊麗珍,白斑及色素異常治療之研究、皮膚雷射、飛梭雷射、光波拉皮、血管瘤、黑斑、皮膚黴菌病、一般皮膚病症
施一新,異位性皮膚炎、 兒童皮膚病、血管瘤、皮膚雷射、一般皮膚病症、微整形注射、胎記處理
莊雅慧,一般皮膚病(濕疹、蕁麻疹、青春痘、黑斑、帶狀皰疹、傷口、疤痕、粉瘤、脂肪瘤…); 毛髮疾病(落髮、圓禿、雄性禿…); 指甲疾病(灰指甲、甲溝炎…); 女性皮膚病; 各式雷射治療(痣、黑斑、老人斑、乳房暗沈、腹股溝暗沈、胎記、頸部息肉、血管瘤、痘疤、除毛…); 臉部緊緻拉提治療(肉毒桿菌注射、脈衝光、凰鳳電波、音波拉提);Miradry微波熱能治療(改善腋下多汗、異味)
林靜怡,一般皮膚病症、果酸換膚、雷射除斑除痣除毛除疤、痘疤治療、飛梭雷射、柔膚雷射、脈衝光美白、肉毒桿菌除皺、玻尿酸注射、光波拉皮、電波拉皮、 音波拉提、 皮秒雷射
許仲瑤,"抗老: 雷射美容、脈衝光、飛梭雷射、電波拉皮治療、音波拉皮治療 淡斑美白: 色素斑雷射、脈衝光除斑治療、皮秒雷射 青春痘及痘疤磨皮與飛梭雷射手術治療、果酸換膚 肉毒桿菌素注射除皺、玻尿酸及左聚乳酸微(童顏針)整型注射 狐臭與腋下多汗治療（非開刀miraDry微波熱能除汗臭術,肉毒桿菌素注射) 微波除汗 皮膚保養品、藥物過敏諮詢、一般皮膚病症 (慢性蕁麻疹、濕疹、異位性皮膚炎、乾癬、白斑)"
黃毓惠,"乾癬,異位性皮膚炎、青春痘及青春痘疤治療（皮下剝離術，鑽孔拉提，鑽孔植皮，飛梭雷射）、 腋下狐臭及多汗症治療,Miradry微舒淨微波熱能除汗除臭,微創旋轉刮刀頂漿腺刮除術 除皺拉提治療（肉毒桿菌素注射，超音波極限拉提，縫線拉提，皮秒雷射）"
李華恩,"自體免疫水泡病及一般皮膚病症,蕁麻疹,異位性皮膚炎,乾癬,藥物過敏 醫學美容微整型,電波拉皮,雷射除斑除痣除毛除疤,脈衝光美白,肉毒桿菌除皺,玻尿酸除皺整型,果酸換膚"
孫培倫,一般皮膚疾病（濕疹、蕁麻疹、青春痘、酒糟、異位性皮膚炎、落髮、免疫性皮膚病、一般黴菌感染、病毒疣、帶狀泡疹、傷口處理），皮膚黴菌感染(頭癬、體癬、股癬、足癬、灰趾甲)、汗斑、念珠菌感染。
張曜宇,皮膚腫瘤、皮膚癌、下肢靜脈曲張治療、一般皮膚病症、青春痘及青春痘疤治療，微整型(肉毒桿菌注射除皺、玻尿酸注射) 、除斑及除痣雷射、電波拉皮、除毛雷射
