醫師姓名,專長
余光輝,痛風及高尿酸血症、類風濕關節炎、紅斑性狼瘡、過敏及氣喘、下背痛脊椎炎
郭昶甫,氣喘及過敏、紅斑性狼瘡、僵直性脊椎炎門診、痛風關節炎及高尿酸、類風濕關節炎門診
方耀凡,氣喘、過敏、紅斑性狼瘡、自體免疫疾病、類風濕性關節炎、僵直性脊椎炎、痛風關節炎
詹天明,類風濕性關節炎、痛風及高尿酸血症、自體免疫性疾病、紅斑性狼瘡、修格蘭症候群、僵直性?椎炎、過敏及氣喘、血管炎、關節痛
陳彥輔,氣喘、過敏、紅斑性狼瘡、自體免疫疾病、類風濕性關節炎、僵直性脊椎炎、痛風關節炎
蔡昀臻,自體免疫疾病、關節炎、類風濕性關節炎、紅斑性狼瘡、僵直性脊椎炎、乾癬性關節炎、骨質疏鬆症、痛風、乾燥症、異位性皮膚炎、過敏原檢查及過敏治療。
張哲慈,紅斑性狼瘡、類風濕性關節炎、僵直性脊椎炎、乾癬暨乾癬性關節炎、高尿酸與痛風性關節炎、硬皮症、皮肌炎、乾燥症、血管炎、各種過敏性疾病
黃思偉,類風濕關節炎、紅斑性狼瘡、僵直性脊椎炎、乾燥症、血管炎、痛風及高尿酸血症、退化性關節炎、過敏原檢查及過敏治療、氣喘、自體免疫疾病
蕭朝陽,關節痛、過敏及氣喘、痛風及高尿酸、自體免疫疾病、紅斑性狼瘡、類風溼性關節炎、僵直性脊椎炎、修格蘭氏症候群、異位性皮膚炎、抗磷脂症候群相關之血栓與不孕、骨質疏鬆與肌少症
謝孟儒,"關節炎、紅斑性狼瘡、類風濕性關節炎、痛風、過敏、骨質疏鬆、皮肌炎、硬皮症、乾癬、僵直性脊椎炎, 乾燥症、雷諾氏症候群、血管炎"
楊宗翰,氣喘、過敏、紅斑性狼瘡、自體免疫疾病、類風濕性關節炎、僵直性脊椎炎、痛風關節炎
謝臻怡,氣喘、過敏、紅斑性狼瘡、僵直性脊椎炎、痛風關節炎、高尿酸、類風濕性關節炎、退化性關節炎、骨鬆肌少症、乾癬性關節炎、乾燥症、異位性皮膚炎、自體免疫不孕症
吳聲旻,內科
陳孟萱,內科
宋昭榕,內科
賴振宏,氣喘、過敏、紅斑性狼瘡、自體免疫疾病、類風濕性關節炎、僵直性脊椎炎、痛風關節炎
