姓名,專長
蔡依紋,"Family medicine, Obesity medicine, Immunity, Primary care and Community medicine 家庭醫學、肥胖醫學、免疫學、社區醫學"
盧美君,慢性疾病診療與防治、預防保健、健康管理、疫苗接種、勞工體檢(只限桃園長庚)
葉維中,家庭醫業、職業醫學、社區醫學、預防醫學、安寧療護
陳昭源,家庭醫學、職業醫學、社區醫學、預防醫學、戒菸治療、老人醫學、骨質疏鬆症醫學
李文正,家庭醫學、職業醫學、預防醫學
陳亮憲,家庭醫學、社區醫學 、環境職業醫學
方薇青,慢性疾病診療與照護、預防醫學、疫苗接種、超音波、健康管理與檢查、骨質疏鬆症照護、肥胖醫學與減重、疫苗接種、戒菸治療、居家醫療照護、安寧緩和照護
張冠民,一般疾病診治、健康管理、慢性病防治、慢性病篩檢、慢性病照護、慢性病治療、慢性病追蹤、健康檢查、勞工(特殊)體檢(限林口院區)、預防保健、預防醫學、疫苗接種、體格檢查、健康諮詢、事業單位、臨場服務。
吳祐新,戒菸諮詢、健康飲食衛教、運動處方籤、慢性疾病診療與追蹤、健康管理、預防保健、疫苗接種、職前健康檢查(限林口院區)、事業單位勞工健康臨場服務
陳怡如,慢性病照護、甲狀腺疾病、肥胖醫學、骨質疏鬆症照護、常見身心疾病、戒菸治療、健康管理、預防醫學、疫苗接種、老人醫學、安寧緩和醫學及預立醫療決策諮詢
陳怡君,-家庭醫學、慢性病治療、一般疾病診治、戒菸治療 -職業醫學、勞工一般體檢及特殊危害作業體檢(限林口院區)、職業傷病配復工評估、事業單位臨場服務 -預防醫學、健康飲食與體重管理、疫苗接種、旅遊醫學、航空醫學
楊庭安,職業及環境相關疾病診斷、職業傷病診治與復配工、慢性病診治與復配工、勞工體檢、事業單位勞工健康臨場服務、家庭醫學及慢性疾病照護、成人預防保健及各式疫苗接種、安寧緩和醫學及預立醫療決定諮詢
陳若瑄,家庭醫學及慢性疾病照護、成人預防保健及各式疫苗接種、勞工體檢、事業單位勞工健康臨場服務、健康管理及自費減重諮詢、骨質疏鬆照護、安寧緩和醫學及預立醫療決定諮詢、戒菸治療與健康諮詢
林悅,家庭醫學、慢性病預防保健、一般成人疫苗接種
林秀美,家庭醫學、慢性病預防保健、一般成人疫苗接種
何佳樺,家庭醫學、慢性病預防保健、一般成人疫苗接種
