name,hospital,campus,department,subspecialty,title,profile_url,registration_url,bio,raw_expertise
Dr. Mei-Ling Chen,Chang Gung Memorial Hospital,Linkou,Cardiology,Heart Failure,Attending Physician,https://example.test/doctors/mei-ling-chen,https://example.test/register/mei-ling-chen,Focuses on complex cardiac care and long-term prevention.,heart failure;hypertension;echocardiography
Dr. Wei-Jen Lin,Chang Gung Memorial Hospital,Linkou,Neurology,Stroke Medicine,Associate Professor,https://example.test/doctors/wei-jen-lin,https://example.test/register/wei-jen-lin,Treats cerebrovascular disease and post-stroke recovery.,stroke;headache;carotid stenosis
Dr. Yu-Han Wang,Chang Gung Memorial Hospital,Taipei,Gastroenterology,Inflammatory Bowel Disease,Attending Physician,https://example.test/doctors/yu-han-wang,https://example.test/register/yu-han-wang,Provides digestive disease evaluation and endoscopic care.,colonoscopy;inflammatory bowel disease;acid reflux
Dr. Chia-Yu Huang,Chang Gung Memorial Hospital,Kaohsiung,Orthopedics,Sports Medicine,Attending Physician,https://example.test/doctors/chia-yu-huang,https://example.test/register/chia-yu-huang,Cares for sports injuries and degenerative joint disease.,knee pain;sports injury;arthroscopy
Dr. Po-Hsun Tsai,Chang Gung Memorial Hospital,Taoyuan,Dermatology,Pediatric Dermatology,Attending Physician,https://example.test/doctors/po-hsun-tsai,https://example.test/register/po-hsun-tsai,Treats inflammatory and pediatric skin conditions.,eczema;psoriasis;pediatric rash
Dr. Li-Wei Chang,Chang Gung Memorial Hospital,Keelung,Oncology,Lung Cancer,Assistant Professor,https://example.test/doctors/li-wei-chang,https://example.test/register/li-wei-chang,Works with multidisciplinary cancer teams.,lung cancer;chemotherapy;targeted therapy
Dr. Hsiao-Ting Wu,Chang Gung Memorial Hospital,Linkou,Endocrinology,Diabetes Care,Attending Physician,https://example.test/doctors/hsiao-ting-wu,https://example.test/register/hsiao-ting-wu,Manages metabolic and thyroid disorders.,diabetes;thyroid nodules;metabolic syndrome
Dr. Ming-Che Liu,Chang Gung Memorial Hospital,Taipei,Pediatrics,Allergy and Immunology,Attending Physician,https://example.test/doctors/ming-che-liu,https://example.test/register/ming-che-liu,Cares for children with allergic and immune conditions.,asthma;food allergy;eczema
Dr. Fang-Ru Hsieh,Chang Gung Memorial Hospital,Kaohsiung,Ophthalmology,Retina,Associate Professor,https://example.test/doctors/fang-ru-hsieh,https://example.test/register/fang-ru-hsieh,Provides medical and surgical retina care.,diabetic retinopathy;macular degeneration;retinal detachment
Dr. Jian-Hao Yang,Chang Gung Memorial Hospital,Chiayi,Urology,Stone Disease,Attending Physician,https://example.test/doctors/jian-hao-yang,https://example.test/register/jian-hao-yang,Treats urinary tract and kidney stone disorders.,kidney stones;prostate enlargement;urinary tract infection
Dr. Shu-Fen Kuo,Chang Gung Memorial Hospital,Linkou,Pulmonology,Sleep Medicine,Attending Physician,https://example.test/doctors/shu-fen-kuo,https://example.test/register/shu-fen-kuo,Evaluates respiratory and sleep-related symptoms.,sleep apnea;chronic cough;asthma
Dr. Ren-Jie Su,Chang Gung Memorial Hospital,Taoyuan,Rehabilitation Medicine,Spine Rehabilitation,Attending Physician,https://example.test/doctors/ren-jie-su,https://example.test/register/ren-jie-su,Supports recovery from injury and chronic pain.,back pain;stroke rehabilitation;neck pain
